id,title,topics,difficulty,leetcode_url,company_tags
30,Encode and Decode Strings,String|Design,Medium,https://leetcode.com/problems/encode-and-decode-strings/,Google|Facebook|Amazon
31,Product of Array Except Self,Array|Prefix Sum,Medium,https://leetcode.com/problems/product-of-array-except-self/,Amazon|Google|Facebook
32,Longest Consecutive Sequence,Array|Hash Table,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,Amazon|Google|Microsoft
33,Best Time to Buy and Sell Stock,Array|Dynamic Programming,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Amazon|Google|Microsoft
34,Longest Repeating Character Replacement,String|Sliding Window,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,Amazon|Google|Microsoft
35,Minimum Window Substring,String|Sliding Window|Hash Table,Hard,https://leetcode.com/problems/minimum-window-substring/,Amazon|Facebook|Google
36,Find Minimum in Rotated Sorted Array,Array|Binary Search,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Amazon|Google|Microsoft
37,Search in Rotated Sorted Array,Array|Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,Amazon|Facebook|Google
38,Reverse Linked List,Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/,Amazon|Microsoft|Apple
39,Linked List Cycle,Linked List|Two Pointers,Easy,https://leetcode.com/problems/linked-list-cycle/,Amazon|Microsoft|Google
40,Reorder List,Linked List|Two Pointers,Medium,https://leetcode.com/problems/reorder-list/,Amazon|Facebook|Microsoft
41,Remove Nth Node From End of List,Linked List|Two Pointers,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Amazon|Microsoft|Facebook
42,Merge K Sorted Lists,Linked List|Heap|Divide and Conquer,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,Amazon|Google|Facebook
43,Invert Binary Tree,Tree|DFS|BFS,Easy,https://leetcode.com/problems/invert-binary-tree/,Google|Amazon|Microsoft
44,Same Tree,Tree|DFS|BFS,Easy,https://leetcode.com/problems/same-tree/,Amazon|Microsoft|Google
45,Subtree of Another Tree,Tree|DFS,Easy,https://leetcode.com/problems/subtree-of-another-tree/,Amazon|Facebook|Microsoft
46,Lowest Common Ancestor of a Binary Search Tree,Tree|BST,Easy,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Amazon|Microsoft|Google
47,Validate Binary Search Tree,Tree|DFS|BST,Medium,https://leetcode.com/problems/validate-binary-search-tree/,Amazon|Google|Microsoft
48,Kth Smallest Element in a BST,Tree|DFS|BST,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Amazon|Facebook|Microsoft
49,Construct Binary Tree from Preorder and Inorder Traversal,Tree|DFS,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Amazon|Microsoft|Facebook
50,Binary Tree Maximum Path Sum,Tree|DFS,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Amazon|Facebook|Google
51,Serialize and Deserialize Binary Tree,Tree|DFS|Design,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Amazon|Facebook|Google
52,Find Median from Data Stream,Heap|Design,Hard,https://leetcode.com/problems/find-median-from-data-stream/,Google|Amazon|Facebook
53,Combination Sum,Array|Backtracking,Medium,https://leetcode.com/problems/combination-sum/,Amazon|Microsoft|Adobe
54,Implement Trie (Prefix Tree),Trie|Design,Medium,https://leetcode.com/problems/implement-trie-prefix-tree/,Google|Amazon|Facebook
55,Design Add and Search Words Data Structure,Trie|DFS|Design,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure/,Facebook|Amazon|Google
56,Word Search II,Trie|Backtracking,Hard,https://leetcode.com/problems/word-search-ii/,Amazon|Microsoft|Facebook
57,Clone Graph,Graph|DFS|BFS,Medium,https://leetcode.com/problems/clone-graph/,Amazon|Facebook|Google
58,Pacific Atlantic Water Flow,Graph|DFS|BFS,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow/,Google|Amazon|Microsoft
59,Graph Valid Tree,Graph|DFS|Union Find,Medium,https://leetcode.com/problems/graph-valid-tree/,Google|Facebook|Amazon
60,Number of Connected Components in an Undirected Graph,Graph|DFS|Union Find,Medium,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Google|Amazon|Facebook
61,Alien Dictionary,Graph|Topological Sort,Hard,https://leetcode.com/problems/alien-dictionary/,Google|Facebook|Amazon
62,Jump Game,Greedy|Array,Medium,https://leetcode.com/problems/jump-game/,Amazon|Microsoft|Google
63,Insert Interval,Array|Sorting,Medium,https://leetcode.com/problems/insert-interval/,Google|Amazon|Microsoft
64,Non-Overlapping Intervals,Array|Greedy|Sorting,Medium,https://leetcode.com/problems/non-overlapping-intervals/,Facebook|Amazon|Google
65,Meeting Rooms,Array|Sorting,Easy,https://leetcode.com/problems/meeting-rooms/,Google|Facebook|Amazon
66,Meeting Rooms II,Array|Heap|Sorting,Medium,https://leetcode.com/problems/meeting-rooms-ii/,Google|Facebook|Amazon
67,Rotate Image,Array|Matrix,Medium,https://leetcode.com/problems/rotate-image/,Amazon|Microsoft|Google
68,Spiral Matrix,Array|Matrix,Medium,https://leetcode.com/problems/spiral-matrix/,Amazon|Google|Microsoft
69,Set Matrix Zeroes,Array|Matrix,Medium,https://leetcode.com/problems/set-matrix-zeroes/,Amazon|Microsoft|Google
70,Number of 1 Bits,Bit Manipulation,Easy,https://leetcode.com/problems/number-of-1-bits/,Amazon|Google|Microsoft
71,Counting Bits,Dynamic Programming|Bit Manipulation,Easy,https://leetcode.com/problems/counting-bits/,Amazon|Google|Microsoft
72,Reverse Bits,Bit Manipulation,Easy,https://leetcode.com/problems/reverse-bits/,Amazon|Microsoft|Google
73,Missing Number,Array|Bit Manipulation,Easy,https://leetcode.com/problems/missing-number/,Amazon|Google|Microsoft
74,Sum of Two Integers,Bit Manipulation|Math,Medium,https://leetcode.com/problems/sum-of-two-integers/,Amazon|Google|Microsoft
